ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;-0.7031;0.0144;80.3823;-82.8226;-77.0963;78.0804;0.0233;-0.0083
0.0749;-0.7031;0.0404;80.3823;-82.8226;-77.0963;78.0804;0.0244;-0.0083
0.1448;-0.7031;0.0741;80.3823;-82.8224;-77.0963;78.0801;0.0243;-0.0086
0.2145;-0.6992;0.0957;80.3823;-82.8218;-77.0963;78.0791;0.0243;-0.0116
0.2884;-0.6992;0.1038;80.3823;-82.8207;-77.0963;78.0773;0.0231;-0.0186
0.366;-0.6992;0.1053;80.3823;-82.8187;-77.0963;78.0743;0.0226;-0.0233
0.437;-0.6875;0.1033;80.3824;-82.816;-77.0963;78.07;0.0226;-0.0234
0.5148;-0.6015;0.0992;80.3824;-82.8126;-77.0963;78.0647;0.0226;-0.0234
0.5926;-0.246;0.1006;80.3824;-82.8082;-77.0963;78.058;0.0226;-0.0242
0.6635;0.0;0.1033;80.3823;-82.8037;-77.0963;78.0509;0.0226;-0.0263
0.7342;0.0;0.1056;80.3822;-82.7985;-77.0963;78.043;0.0226;-0.0283
0.8086;0.0;0.1083;80.3822;-82.7929;-77.0964;78.0342;0.0226;-0.0305
0.8795;0.0;0.1169;80.3822;-82.7861;-77.0965;78.0238;0.0209;-0.0333
0.9499;0.0;0.125;80.3822;-82.779;-77.0966;78.0128;0.0174;-0.0339
1.0193;0.0;0.1334;80.3822;-82.7712;-77.0966;78.0008;0.015;-0.034
1.0891;0.0;0.1417;80.3822;-82.7627;-77.0967;77.9879;0.0137;-0.0358
1.1618;0.0938;0.1593;80.3822;-82.7535;-77.0967;77.9737;0.0135;-0.0428
1.2331;0.2139;0.1897;80.3817;-82.7429;-77.0968;77.9576;0.0124;-0.0484
1.3029;0.2986;0.2421;80.3789;-82.7314;-77.0966;77.9401;0.0099;-0.0493
1.3745;0.3247;0.3077;80.3733;-82.7189;-77.0963;77.9211;0.0066;-0.0493
1.4439;0.2803;0.3557;80.3635;-82.7041;-77.0958;77.8989;0.004;-0.0493
1.5138;0.2658;0.3869;80.3507;-82.6878;-77.095;77.8742;0.0034;-0.0498
1.5968;0.3785;0.4056;80.3348;-82.6689;-77.0941;77.8457;0.0034;-0.0564
1.672;0.4375;0.4107;80.3192;-82.6518;-77.0932;77.8201;0.0034;-0.0603
1.7564;0.5024;0.4166;80.2829;-82.6162;-77.091;77.767;0.0034;-0.0671
1.8366;0.5483;0.4209;80.2457;-82.5838;-77.0888;77.719;0.0029;-0.084
1.9156;0.5875;0.4249;80.1973;-82.5454;-77.0859;77.663;-0.0012;-0.0985
1.9867;0.5985;0.428;80.1504;-82.5107;-77.0831;77.6133;-0.0089;-0.1144
2.0602;0.5863;0.4255;80.095;-82.4719;-77.0801;77.5586;-0.0152;-0.1252
2.1319;0.5765;0.3876;80.0343;-82.4311;-77.0769;77.5018;-0.0186;-0.131
2.2018;0.5771;0.3157;79.9687;-82.3886;-77.0737;77.4434;-0.0197;-0.1357
2.2715;0.5945;0.262;79.897;-82.344;-77.0705;77.3827;-0.0197;-0.1398
2.3431;0.6303;0.2316;79.8172;-82.2964;-77.0668;77.3186;-0.0197;-0.1483
2.4141;0.6839;0.218;79.7313;-82.2477;-77.0626;77.2538;-0.0197;-0.1655
2.4848;0.7309;0.2063;79.6382;-82.1977;-77.0581;77.1885;-0.0197;-0.1857
