ScenarioTime,PredictedThrottleA,ThrottleA,ThrottleB,CarPosXA,CarPosXB,CarPosZA,CarPosZB,SteerA,SteerB
1.6233,0.02403703,0,0.3251,0.128,-0.4025,-17.8025,21.6786,-0.0694,0.0392
1.6233,0.02403703,0,0.3251,0.128,-0.4025,-17.8025,21.6786,-0.0694,0.0392
1.6929,0.06245056,0,0.231,0.1448,-0.4029,-17.5511,21.3467,-0.0694,0.0222
1.6929,0.06245056,0,0.231,0.1448,-0.4029,-17.5511,21.3467,-0.0694,0.0222
1.7625,0.07405755,0,0.1364,0.1601,-0.4033,-17.3031,21.0157,-0.069,0.0054
1.7625,0.07405755,0,0.1364,0.1601,-0.4033,-17.3031,21.0157,-0.069,0.0054
1.8321,0.0412896,-0.0119,0.0806,0.174,-0.4031,-17.0577,20.686,-0.0638,-0.0093
1.8321,0.0412896,-0.0119,0.0806,0.174,-0.4031,-17.0577,20.686,-0.0638,-0.0093
1.9016,0.00787807,-0.0952,0.0476,0.1868,-0.4019,-16.8169,20.3614,-0.0535,-0.0234
1.9016,0.00787807,-0.0952,0.0476,0.1868,-0.4019,-16.8169,20.3614,-0.0535,-0.0234
1.971,-0.00966741,-0.123,0.0281,0.1987,-0.3993,-16.5824,20.0419,-0.0432,-0.0344
1.971,-0.00966741,-0.123,0.0281,0.1987,-0.3993,-16.5824,20.0419,-0.0432,-0.0344
2.0418,-0.02342571,-0.127,0.0166,0.2102,-0.3953,-16.3528,19.7234,-0.0354,-0.0421
2.0418,-0.02342571,-0.127,0.0166,0.2102,-0.3953,-16.3528,19.7234,-0.0354,-0.0421
2.114,-0.03337279,-0.1468,0.0098,0.2217,-0.3894,-16.1248,19.3999,-0.0309,-0.0459
2.114,-0.03337279,-0.1468,0.0098,0.2217,-0.3894,-16.1248,19.3999,-0.0309,-0.0459
2.1834,-0.04257798,-0.1587,0.0058,0.2322,-0.3823,-15.9152,19.0949,-0.0255,-0.0461
2.1834,-0.04257798,-0.1587,0.0058,0.2322,-0.3823,-15.9152,19.0949,-0.0255,-0.0461
2.2534,-0.05162294,-0.1429,0.0034,0.2423,-0.3739,-15.7131,18.7919,-0.0199,-0.0461
2.2534,-0.05162294,-0.1429,0.0034,0.2423,-0.3739,-15.7131,18.7919,-0.0199,-0.0461
2.3274,-0.05912375,-0.1071,0.002,0.2526,-0.3638,-15.5094,18.4769,-0.0158,-0.0461
2.3274,-0.05912375,-0.1071,0.002,0.2526,-0.3638,-15.5094,18.4769,-0.0158,-0.0461
2.397,-0.0644346,-0.0873,0.0012,0.262,-0.3533,-15.3261,18.1861,-0.0133,-0.0461
2.397,-0.0644346,-0.0873,0.0012,0.262,-0.3533,-15.3261,18.1861,-0.0133,-0.0461
2.4668,-0.06931046,-0.0476,0.0007,0.2711,-0.3417,-15.1483,17.8981,-0.0099,-0.0461
2.4668,-0.06931046,-0.0476,0.0007,0.2711,-0.3417,-15.1483,17.8981,-0.0099,-0.0461
2.5366,-0.1392641,0,-0.2496,0.2801,-0.3292,-14.9753,17.6146,-0.006,-0.0416
2.5366,-0.1392641,0,-0.2496,0.2801,-0.3292,-14.9753,17.6146,-0.006,-0.0416
2.6065,-0.21007316,0,-0.3926,0.2892,-0.3164,-14.8055,17.3419,-0.0029,-0.0288
2.6065,-0.21007316,0,-0.3926,0.2892,-0.3164,-14.8055,17.3419,-0.0029,-0.0288
2.6758,-0.18320914,0,-0.3927,0.2981,-0.3043,-14.639,17.0881,-0.0023,-0.0113
2.6758,-0.18320914,0,-0.3927,0.2981,-0.3043,-14.639,17.0881,-0.0023,-0.0113
2.7454,-0.08472995,-0.0198,-0.3015,0.3071,-0.2934,-14.475,16.8532,-0.0023,0.0083
2.7454,-0.08472995,-0.0198,-0.3015,0.3071,-0.2934,-14.475,16.8532,-0.0023,0.0083
2.815,-0.06951959,-0.0198,-0.2698,0.3159,-0.2843,-14.3136,16.6348,-0.0023,0.0242
2.815,-0.06951959,-0.0198,-0.2698,0.3159,-0.2843,-14.3136,16.6348,-0.0023,0.0242
2.8848,-0.06616206,-0.0357,-0.2777,0.3247,-0.277,-14.1544,16.4292,-0.0024,0.0386
2.8848,-0.06616206,-0.0357,-0.2777,0.3247,-0.277,-14.1544,16.4292,-0.0024,0.0386
2.9546,-0.0646679,-0.0873,-0.3095,0.3331,-0.2715,-13.9992,16.2379,-0.0031,0.0521
2.9546,-0.0646679,-0.0873,-0.3095,0.3331,-0.2715,-13.9992,16.2379,-0.0031,0.0521
3.0244,-0.06093994,-0.119,-0.3095,0.3413,-0.2676,-13.8489,16.0609,-0.0049,0.0619
3.0244,-0.06093994,-0.119,-0.3095,0.3413,-0.2676,-13.8489,16.0609,-0.0049,0.0619
3.0943,-0.05701286,-0.1111,-0.3095,0.349,-0.2653,-13.7053,15.899,-0.0068,0.0701
3.0943,-0.05701286,-0.1111,-0.3095,0.349,-0.2653,-13.7053,15.899,-0.0068,0.0701
3.1641,-0.05448815,-0.0873,-0.3095,0.3563,-0.2641,-13.5683,15.7516,-0.007,0.0768
3.1641,-0.05448815,-0.0873,-0.3095,0.3563,-0.2641,-13.5683,15.7516,-0.007,0.0768
3.2337,-0.05290857,-0.0714,-0.3095,0.3631,-0.264,-13.4377,15.6195,-0.007,0.0801
3.2337,-0.05290857,-0.0714,-0.3095,0.3631,-0.264,-13.4377,15.6195,-0.007,0.0801
3.3045,-0.05108801,-0.0635,-0.3016,0.3697,-0.2644,-13.31,15.4996,-0.007,0.0798
3.3045,-0.05108801,-0.0635,-0.3016,0.3697,-0.2644,-13.31,15.4996,-0.007,0.0798
3.376,-0.04530169,-0.0952,-0.25,0.3761,-0.2652,-13.1861,15.3933,-0.007,0.0793
3.376,-0.04530169,-0.0952,-0.25,0.3761,-0.2652,-13.1861,15.3933,-0.007,0.0793
3.4456,-0.04189432,-0.0952,-0.2103,0.382,-0.2661,-13.0709,15.3026,-0.007,0.0792
3.4456,-0.04189432,-0.0952,-0.2103,0.382,-0.2661,-13.0709,15.3026,-0.007,0.0792
3.5156,-0.03766713,-0.0952,-0.1984,0.3876,-0.2671,-12.9607,15.2218,-0.0076,0.0792
3.5156,-0.03766713,-0.0952,-0.1984,0.3876,-0.2671,-12.9607,15.2218,-0.0076,0.0792
3.5852,-0.0344023,-0.0913,-0.2063,0.3929,-0.2681,-12.8559,15.1501,-0.0076,0.0792
3.5852,-0.0344023,-0.0913,-0.2063,0.3929,-0.2681,-12.8559,15.1501,-0.0076,0.0792
3.6548,-0.030387,-0.0873,-0.2063,0.3979,-0.2691,-12.7571,15.0882,-0.0076,0.0792
3.6548,-0.030387,-0.0873,-0.2063,0.3979,-0.2691,-12.7571,15.0882,-0.0076,0.0792
3.7244,-0.02483766,-0.0873,-0.1825,0.4026,-0.27,-12.6634,15.0352,-0.0076,0.0792
3.7244,-0.02483766,-0.0873,-0.1825,0.4026,-0.27,-12.6634,15.0352,-0.0076,0.0792
3.794,-0.01370348,-0.0873,-0.1032,0.407,-0.2708,-12.5747,14.9907,-0.0076,0.0782
3.794,-0.01370348,-0.0873,-0.1032,0.407,-0.2708,-12.5747,14.9907,-0.0076,0.0782
3.8635,0.0050211,-0.0873,0,0.4112,-0.2715,-12.4906,14.9518,-0.0076,0.0754
3.8635,0.0050211,-0.0873,0,0.4112,-0.2715,-12.4906,14.9518,-0.0076,0.0754
3.9356,0.01067686,-0.0873,0,0.4152,-0.2722,-12.4112,14.9146,-0.0076,0.0714
3.9356,0.01067686,-0.0873,0,0.4152,-0.2722,-12.4112,14.9146,-0.0076,0.0714
4.0154,0.01735991,-0.0873,0,0.4191,-0.2729,-12.3322,14.8758,-0.0076,0.068
4.0154,0.01735991,-0.0873,0,0.4191,-0.2729,-12.3322,14.8758,-0.0076,0.068
4.0889,0.02358133,-0.0913,0,0.4226,-0.2735,-12.2607,14.8387,-0.0076,0.0656
4.0889,0.02358133,-0.0913,0,0.4226,-0.2735,-12.2607,14.8387,-0.0076,0.0656
4.1636,0.02964199,-0.0913,0,0.4264,-0.2742,-12.1824,14.7954,-0.0076,0.0638
4.1636,0.02964199,-0.0913,0,0.4264,-0.2742,-12.1824,14.7954,-0.0076,0.0638
4.2351,0.03604057,-0.0794,0,0.4294,-0.2748,-12.1216,14.7592,-0.0076,0.0623
4.2351,0.03604057,-0.0794,0,0.4294,-0.2748,-12.1216,14.7592,-0.0076,0.0623
4.3067,0.04262006,-0.0714,0,0.4321,-0.2753,-12.0653,14.7236,-0.0076,0.061
4.3067,0.04262006,-0.0714,0,0.4321,-0.2753,-12.0653,14.7236,-0.0076,0.061
4.3767,0.049014,-0.0556,0,0.4346,-0.2759,-12.0142,14.6892,-0.0076,0.0587
4.3767,0.049014,-0.0556,0,0.4346,-0.2759,-12.0142,14.6892,-0.0076,0.0587
4.4463,0.05540451,-0.0317,0,0.4369,-0.2764,-11.9665,14.6554,-0.0076,0.0561
4.4463,0.05540451,-0.0317,0,0.4369,-0.2764,-11.9665,14.6554,-0.0076,0.0561
4.5161,0.06187347,-0.0198,0,0.4391,-0.277,-11.9211,14.6219,-0.0076,0.0536
4.5161,0.06187347,-0.0198,0,0.4391,-0.277,-11.9211,14.6219,-0.0076,0.0536
4.586,0.06839302,-0.0159,0,0.4413,-0.2774,-11.8772,14.5889,-0.0076,0.0512
4.586,0.06839302,-0.0159,0,0.4413,-0.2774,-11.8772,14.5889,-0.0076,0.0512
4.6553,0.07483202,-0.0119,0,0.4433,-0.2779,-11.8349,14.5565,-0.0076,0.0486
4.6553,0.07483202,-0.0119,0,0.4433,-0.2779,-11.8349,14.5565,-0.0076,0.0486
4.7251,0.08151272,-0.0119,0,0.4453,-0.2784,-11.7939,14.5244,-0.0076,0.0471
4.7251,0.08151272,-0.0119,0,0.4453,-0.2784,-11.7939,14.5244,-0.0076,0.0471
4.7945,0.08827835,-0.0159,0,0.4472,-0.2788,-11.754,14.4928,-0.0076,0.0464
4.7945,0.08827835,-0.0159,0,0.4472,-0.2788,-11.754,14.4928,-0.0076,0.0464
4.8643,0.09519833,-0.0159,0,0.4491,-0.2792,-11.7152,14.4615,-0.0076,0.0464
4.8643,0.09519833,-0.0159,0,0.4491,-0.2792,-11.7152,14.4615,-0.0076,0.0464
4.9341,0.10212028,-0.0198,0,0.4509,-0.2796,-11.6776,14.4306,-0.0076,0.0464
4.9341,0.10212028,-0.0198,0,0.4509,-0.2796,-11.6776,14.4306,-0.0076,0.0464
5.0037,0.1090222,-0.0238,0,0.4526,-0.2801,-11.6414,14.4002,-0.0076,0.0464
5.0037,0.1090222,-0.0238,0,0.4526,-0.2801,-11.6414,14.4002,-0.0076,0.0464
5.0733,0.1159341,-0.0238,0,0.4543,-0.2805,-11.6068,14.3702,-0.0076,0.0464
5.0733,0.1159341,-0.0238,0,0.4543,-0.2805,-11.6068,14.3702,-0.0076,0.0464
5.1428,0.12147856,-0.0357,0.012,0.4559,-0.281,-11.5737,14.3406,-0.0076,0.0464
5.1428,0.12147856,-0.0357,0.012,0.4559,-0.281,-11.5737,14.3406,-0.0076,0.0464
5.2124,0.11674893,-0.0317,0.0865,0.4573,-0.2814,-11.5424,14.3112,-0.0076,0.0464
5.2124,0.11674893,-0.0317,0.0865,0.4573,-0.2814,-11.5424,14.3112,-0.0076,0.0464
5.2822,0.10650963,-0.0317,0.1421,0.4588,-0.2819,-11.5129,14.2814,-0.0076,0.0464
5.2822,0.10650963,-0.0317,0.1421,0.4588,-0.2819,-11.5129,14.2814,-0.0076,0.0464
5.3521,0.09117788,-0.0238,0.1749,0.4601,-0.2824,-11.4851,14.2504,-0.0076,0.0464
5.3521,0.09117788,-0.0238,0.1749,0.4601,-0.2824,-11.4851,14.2504,-0.0076,0.0464
5.4217,0.07972869,-0.0198,0.1957,0.4613,-0.283,-11.4589,14.218,-0.0076,0.0464
5.4217,0.07972869,-0.0198,0.1957,0.4613,-0.283,-11.4589,14.218,-0.0076,0.0464
5.4912,0.06848356,-0.0119,0.2161,0.4625,-0.2836,-11.4342,14.1837,-0.0076,0.0464
5.4912,0.06848356,-0.0119,0.2161,0.4625,-0.2836,-11.4342,14.1837,-0.0076,0.0464
