ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.0;80.7681;-84.915;-75.5495;78.1224;-0.0133;-0.0706
0.0781;0.0056;0.0;80.7681;-84.915;-75.5495;78.1224;-0.0122;-0.0706
0.1477;0.0183;0.0;80.7681;-84.9151;-75.5496;78.1225;-0.0111;-0.0706
0.2185;0.0364;0.0;80.7679;-84.9151;-75.5497;78.1225;-0.0102;-0.0706
0.2893;0.0588;0.0;80.7674;-84.915;-75.5498;78.1225;-0.0085;-0.0703
0.3589;0.0779;0.0;80.7663;-84.9151;-75.5499;78.1225;-0.0065;-0.0679
0.429;0.0939;0.0;80.7643;-84.915;-75.55;78.1225;-0.0052;-0.0661
0.5032;0.1099;0.0;80.7614;-84.915;-75.5501;78.1225;-0.005;-0.0661
0.5759;0.1282;0.0;80.757;-84.915;-75.5502;78.1225;-0.005;-0.0661
0.646;0.1441;0.0;80.7512;-84.915;-75.5503;78.1225;-0.005;-0.0661
0.7156;0.155;0.0;80.7442;-84.915;-75.5504;78.1225;-0.005;-0.0661
0.7852;0.1614;0.0;80.7355;-84.915;-75.5505;78.1225;-0.005;-0.0675
0.8547;0.1652;0.0173;80.7251;-84.915;-75.5506;78.1225;-0.005;-0.0703
0.9241;0.1674;0.0292;80.7128;-84.9149;-75.5507;78.1223;-0.005;-0.0733
0.9937;0.1726;0.03;80.6987;-84.9147;-75.5508;78.1219;-0.005;-0.0759
1.063;0.1804;0.0291;80.683;-84.9142;-75.5509;78.1213;-0.005;-0.0778
1.1331;0.1878;0.0246;80.6652;-84.9136;-75.551;78.1204;-0.005;-0.0791
1.2026;0.1929;0.0145;80.6455;-84.9128;-75.5512;78.1192;-0.005;-0.0791
1.2725;0.1984;0.0086;80.6238;-84.912;-75.5513;78.1178;-0.005;-0.0807
1.3452;0.2016;0.0051;80.6002;-84.911;-75.5514;78.1164;-0.0068;-0.0927
1.4148;0.2043;0.003;80.5734;-84.91;-75.5516;78.1148;-0.0085;-0.1165
1.4844;0.2096;0.0018;80.5457;-84.909;-75.5518;78.1134;-0.0091;-0.1546
1.5537;0.2182;0.001;80.5162;-84.908;-75.5522;78.112;-0.0091;-0.1992
1.6235;0.2258;0.0042;80.4846;-84.907;-75.5524;78.1105;-0.0091;-0.2361
1.6938;0.2308;0.0356;80.4506;-84.9059;-75.5525;78.1091;-0.0091;-0.269
1.7634;0.2338;0.0567;80.4145;-84.9046;-75.5526;78.1074;-0.0091;-0.3055
1.8328;0.2348;0.0693;80.3763;-84.903;-75.5527;78.1055;-0.0096;-0.3391
1.9023;0.2345;0.0766;80.3358;-84.9009;-75.5528;78.103;-0.0114;-0.3705
1.9727;0.2344;0.081;80.293;-84.8983;-75.5529;78.0999;-0.0132;-0.3957
2.0425;0.2343;0.0836;80.2473;-84.8951;-75.5531;78.0963;-0.0135;-0.4111
2.1118;0.2342;0.0851;80.2001;-84.8913;-75.5533;78.0921;-0.0135;-0.4171
2.1958;0.2342;0.086;80.1507;-84.8869;-75.5536;78.0873;-0.0135;-0.4259
2.2813;0.2345;0.0822;80.0904;-84.8811;-75.5539;78.0808;-0.0135;-0.4371
2.3584;0.2363;0.0771;80.0274;-84.8745;-75.5542;78.0736;-0.0131;-0.4493
