-0.5156;-0.3072;False;False.1;-49.0059;-49.0059.1;0.0439;0.0439.1;2.8832;2.8832.1;1.7281;1.7281.1;268.5022;268.5022.1;0.0122;0.0122.1;0.0004;-0.0004;-0.0004.1;0.0000;0.0000.1;0.0004.1;146752;63.53282;2045.82;-48.8051;37.9873;1.7080;1.2491;0.9764;-1.8961;354.2360;351.9059;270.9148;81.3523;359.7697;0.0272;LeftFalse_RightFalse;LeftFalse_RightTrue;HandLeft_(1.4, -1.0, -0.6)_(0.6, 0.7, -0.2, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(-0.2, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.4, -0.6, -0.5, 0.4)_0.9998702_System.String[];46.1437;-0.0390;-0.0111
0.0000;0.0335;False;False;82.1997;82.1997;-0.0139;-0.0139;25.1993;25.1993;0.0062;0.0062;208.4261;208.4261;0.0000;0.0000;-0.0006;0.0017;0.0017;-0.0010;-0.0010;-0.0006;154599;70.61626;2155.69;83.9759;107.0768;1.6453;1.2556;24.4662;69.7688;352.5130;352.5204;210.8490;213.2396;359.6841;0.5275;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.1, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.6294;0.0125;-0.0222
0.0000;0.0198;False;False;82.1996;82.1996;-0.0138;-0.0138;25.1992;25.1992;0.0053;0.0053;208.4255;208.4255;0.0000;0.0000;-0.0009;0.0004;0.0004;-0.0017;-0.0017;-0.0009;154604;69.96728;2155.76;83.9759;107.0756;1.6454;1.2556;24.4662;69.7671;352.5122;352.5183;210.8481;213.2393;359.6841;0.5276;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.1, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.7002;0.0125;-0.0222
0.0000;0.0117;False;False;82.1995;82.1995;-0.0138;-0.0138;25.1991;25.1991;0.0039;0.0039;208.4271;208.4271;0.0000;0.0000;-0.0010;0.0000;0.0000;-0.0018;-0.0018;-0.0010;154609;68.62338;2155.83;83.9758;107.0742;1.6454;1.2556;24.4660;69.7653;352.5108;352.5170;210.8498;213.2375;359.6841;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.7717;0.0125;-0.0222
0.0000;0.0069;False;False;82.1994;82.1994;-0.0138;-0.0138;25.1989;25.1989;0.0027;0.0027;208.4267;208.4267;0.0000;0.0000;-0.0008;-0.0002;-0.0002;-0.0015;-0.0015;-0.0008;154614;70.52124;2155.90;83.9757;107.0727;1.6454;1.2556;24.4659;69.7633;352.5096;352.5166;210.8494;213.2365;359.6840;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.4, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.8403;0.0125;-0.0222
0.0000;0.0041;False;False;82.1994;82.1994;-0.0139;-0.0139;25.1987;25.1987;0.0021;0.0021;208.4269;208.4269;0.0000;0.0000;-0.0009;-0.0003;-0.0003;-0.0017;-0.0017;-0.0009;154619;70.37701;2155.97;83.9757;107.0712;1.6454;1.2556;24.4658;69.7613;352.5089;352.5166;210.8495;213.2358;359.6840;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.3, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.9104;0.0125;-0.0222
0.0000;0.0024;False;False;82.1993;82.1993;-0.0139;-0.0139;25.1986;25.1986;0.0016;0.0016;208.4284;208.4284;0.0000;0.0000;-0.0007;-0.0002;-0.0002;-0.0013;-0.0013;-0.0007;154624;70.55734;2156.04;83.9756;107.0697;1.6454;1.2555;24.4656;69.7592;352.5083;352.5171;210.8504;213.2352;359.6840;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];0.9802;0.0125;-0.0222
0.0000;0.0014;False;False;82.1992;82.1992;-0.0139;-0.0139;25.1985;25.1985;0.0012;0.0012;208.4278;208.4278;0.0000;0.0000;-0.0019;-0.0002;-0.0002;-0.0034;-0.0034;-0.0019;154629;71.02404;2156.11;83.9755;107.0682;1.6454;1.2555;24.4655;69.7572;352.5080;352.5177;210.8506;213.2336;359.6839;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.2)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];1.0498;0.0125;-0.0222
0.0000;0.0008;False;False;82.1991;82.1991;-0.0139;-0.0139;25.1983;25.1983;0.0009;0.0009;208.4283;208.4283;0.0000;0.0000;-0.0003;-0.0001;-0.0001;-0.0005;-0.0005;-0.0003;154634;70.37008;2156.18;83.9754;107.0667;1.6454;1.2555;24.4653;69.7552;352.5075;352.5181;210.8506;213.2313;359.6839;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9998702_System.String[];1.1204;0.0125;-0.0222
0.0000;0.0005;False;False;82.1990;82.1990;-0.0139;-0.0139;25.1982;25.1982;0.0008;0.0008;208.4277;208.4277;0.0000;0.0000;-0.0011;-0.0001;-0.0001;-0.0020;-0.0020;-0.0011;154639;70.76588;2156.25;83.9753;107.0652;1.6453;1.2555;24.4652;69.7533;352.5074;352.5184;210.8506;213.2303;359.6839;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.6)_(0.2, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.7)_0.9998702_System.String[];1.1899;0.0125;-0.0222
0.0000;0.0003;False;False;82.1990;82.1990;-0.0139;-0.0139;25.1981;25.1981;0.0008;0.0008;208.4297;208.4297;0.0000;0.0000;-0.0001;0.0000;0.0000;-0.0002;-0.0002;-0.0001;154644;69.9953;2156.32;83.9753;107.0638;1.6453;1.2555;24.4651;69.7513;352.5074;352.5185;210.8516;213.2306;359.6839;0.5277;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.2, 0.0)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.7, 0.5, -0.5, 0.3)_0.9998702_System.String[];HandRight_(1.6, -1.1, -0.5)_(0.3, -0.4, -0.2, 0.9)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.7)_0.9998702_System.String[];1.2605;0.0125;-0.0222
