AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0044;0.9927;False;False;81.1923;81.1923;-0.0050;-0.0050;-75.3922;-75.3922;359.7730;359.7730;278.9429;278.9429;0.0110;0.0110;-0.0938;0.0002;0.0002;0.0150;0.0150;-0.0938;79175;70.69797;1096.90;81.1017;78.9675;1.6531;1.3752;-77.3129;87.8707;352.2791;352.3796;281.3650;236.8664;359.6853;0.5123;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.5, 0.5, -0.6, 0.3)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.7152;0.0049;-0.1104
0.0026;0.9957;False;False;81.1860;81.1860;-0.0050;-0.0050;-75.3912;-75.3912;359.7748;359.7748;278.9445;278.9445;0.0109;0.0109;-0.0926;0.0001;0.0001;0.0145;0.0145;-0.0926;79180;72.67777;1096.97;81.0951;78.8720;1.6531;1.3750;-77.3118;87.8115;352.2808;352.3785;281.3665;236.6549;359.6852;0.5093;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.5, 0.5, -0.6, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.6, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.7830;-0.0044;-0.1104
0.1083;0.9974;False;False;81.1794;81.1794;-0.0050;-0.0050;-75.3902;-75.3902;359.7759;359.7759;278.9444;278.9444;0.0107;0.0107;-0.0979;0.0001;0.0001;0.0151;0.0151;-0.0979;79185;72.02293;1097.04;81.0884;78.7645;1.6531;1.3749;-77.3108;87.7443;352.2822;352.3786;281.3672;236.4165;359.6851;0.5058;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.3, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.8531;-0.0090;-0.1104
0.2392;0.9985;False;False;81.1718;81.1718;-0.0050;-0.0050;-75.3891;-75.3891;359.7744;359.7744;278.9430;278.9430;0.0106;0.0106;-0.1206;0.0001;0.0001;0.0185;0.0185;-0.1206;79190;72.1362;1097.11;81.0812;78.6463;1.6531;1.3748;-77.3097;87.6697;352.2813;352.3796;281.3653;236.1543;359.6850;0.5019;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.3, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.9232;-0.0090;-0.1123
0.3218;0.9897;False;False;81.1618;81.1618;-0.0050;-0.0050;-75.3875;-75.3875;359.7687;359.7687;278.9414;278.9414;0.0106;0.0106;-0.1724;0.0000;0.0000;0.0265;0.0265;-0.1724;79195;71.89445;1097.18;81.0719;78.5214;1.6531;1.3746;-77.3083;87.5901;352.2763;352.3814;281.3643;235.8725;359.6848;0.4966;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.3, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];0.9933;-0.0069;-0.1291
0.3809;0.9788;False;False;81.1483;81.1483;-0.0050;-0.0050;-75.3855;-75.3855;359.7605;359.7605;278.9401;278.9401;0.0107;0.0107;-0.2192;0.0000;0.0000;0.0340;0.0340;-0.2192;79200;72.08506;1097.25;81.0594;78.3870;1.6531;1.3744;-77.3063;87.5027;352.2685;352.3838;281.3629;235.5400;359.6845;0.4861;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.3, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.4, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.2, -0.6, -0.6, 0.5)_0.9998702_System.String[];1.0631;-0.0024;-0.1556
0.4034;0.9706;False;False;81.1305;81.1305;-0.0050;-0.0050;-75.3827;-75.3827;359.7512;359.7512;278.9399;278.9399;0.0110;0.0110;-0.2918;0.0000;0.0000;0.0461;0.0461;-0.2918;79205;71.8481;1097.32;81.0426;78.2416;1.6530;1.3741;-77.3037;87.4053;352.2592;352.3870;281.3624;235.1133;359.6844;0.4678;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.7, 0.6, -0.3, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.5, -0.3)_(0.5, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.7, -0.6, 0.5)_0.9998702_System.String[];1.1334;0.0049;-0.1802
0.3932;0.9731;False;False;81.1082;81.1082;-0.0050;-0.0050;-75.3791;-75.3791;359.7428;359.7428;278.9425;278.9425;0.0116;0.0116;-0.3457;0.0001;0.0001;0.0559;0.0559;-0.3457;79210;72.03922;1097.39;81.0213;78.0887;1.6530;1.3739;-77.3003;87.2993;352.2505;352.3910;281.3642;234.5912;359.6845;0.4469;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.8, 0.5, -0.2, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.5, -0.3)_(0.6, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.0, -0.6, -0.4, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9998702_System.String[];1.2036;0.0169;-0.1917
0.4026;0.9812;False;False;81.0815;81.0815;-0.0050;-0.0050;-75.3747;-75.3747;359.7367;359.7367;278.9514;278.9514;0.0129;0.0129;-0.4153;0.0011;0.0011;0.0679;0.0679;-0.4153;79215;71.70711;1097.46;80.9956;77.9293;1.6529;1.3736;-77.2962;87.1850;352.2439;352.3956;281.3714;233.9878;359.6853;0.4286;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.8, 0.5, -0.2, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.5, -0.3)_(0.5, 0.5, -0.4, 0.5)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.7)_(0.0, -0.6, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.5)_0.9998702_System.String[];1.2743;0.0327;-0.1947
0.4270;0.9889;False;False;81.0510;81.0510;-0.0048;-0.0048;-75.3696;-75.3696;359.7365;359.7365;278.9775;278.9775;0.0206;0.0206;-0.4671;0.0022;0.0022;0.0776;0.0776;-0.4671;79220;72.23885;1097.53;80.9650;77.7618;1.6528;1.3733;-77.2914;87.0614;352.2422;352.4024;281.3934;233.3222;359.6914;0.4177;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.3, -0.9, -0.6)_(0.8, 0.5, -0.2, 0.2)_1.252726_System.String[];HandLeft_(-0.8, -0.5, -0.3)_(0.5, 0.5, -0.4, 0.6)_0.9998702_System.String[];HandRight_(1.6, -0.9, -0.6)_(-0.1, -0.5, -0.5, 0.7)_1.252726_System.String[];HandRight_(-0.5, -0.4, -0.3)_(-0.1, -0.6, -0.6, 0.5)_0.9998702_System.String[];1.3436;0.0439;-0.1954
