ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.5369;80.4304;-82.8186;-76.9659;78.0782;0.0141;-0.0189
0.0671;0.0;0.5454;80.4302;-82.8175;-76.9659;78.0765;0.0141;-0.0199
0.1365;0.0;0.5541;80.4302;-82.8132;-76.966;78.0697;0.0141;-0.0207
0.2061;0.0023;0.5622;80.4301;-82.8053;-76.9661;78.0576;0.0141;-0.0212
0.2759;0.0225;0.5711;80.43;-82.794;-76.9662;78.0401;0.0141;-0.0214
0.3452;0.0812;0.5807;80.4298;-82.7792;-76.9662;78.0171;0.0141;-0.0215
0.4148;0.1924;0.5957;80.429;-82.7609;-76.9662;77.9886;0.0141;-0.0215
0.4841;0.2671;0.6118;80.4262;-82.7389;-76.9661;77.9545;0.0141;-0.0218
0.554;0.3244;0.6257;80.4208;-82.7131;-76.9658;77.9145;0.0141;-0.0235
0.625;0.4217;0.6357;80.4118;-82.6834;-76.9652;77.8686;0.0131;-0.0267
0.6946;0.5538;0.6443;80.3981;-82.6493;-76.9644;77.816;0.0113;-0.0298
0.7642;0.6905;0.6515;80.3788;-82.6119;-76.9632;77.7584;0.0091;-0.0324
0.8335;0.8082;0.658;80.3521;-82.5704;-76.9615;77.695;0.0071;-0.0349
0.9033;0.8867;0.6621;80.3165;-82.5247;-76.9593;77.6253;0.0065;-0.038
0.9731;0.9331;0.6655;80.2708;-82.4749;-76.9565;77.5496;0.0065;-0.0421
1.0427;0.9605;0.6681;80.2147;-82.4211;-76.9529;77.4683;0.0065;-0.0465
1.1121;0.9767;0.6697;80.1474;-82.3631;-76.9487;77.3812;0.0065;-0.051
1.1792;0.9847;0.6704;80.084;-82.3125;-76.9447;77.3056;0.0065;-0.0568
1.2485;0.9876;0.6707;80.0069;-82.2546;-76.9399;77.2197;0.0051;-0.0653
1.3291;0.9909;0.6689;79.8812;-82.1656;-76.932;77.0891;0.0019;-0.0786
1.3982;0.9934;0.6676;79.7548;-82.0807;-76.9241;76.9663;-0.0018;-0.0908
1.4739;0.9961;0.6611;79.6156;-81.9906;-76.9154;76.8384;-0.0066;-0.1097
1.5435;0.9977;0.6508;79.4782;-81.9042;-76.9072;76.7181;-0.0102;-0.1276
1.6172;0.9986;0.6381;79.321;-81.8073;-76.8981;76.5867;-0.0135;-0.1473
1.6909;0.9992;0.6262;79.1507;-81.7043;-76.8887;76.4508;-0.0168;-0.1675
1.761;0.9995;0.6133;78.9777;-81.6011;-76.8795;76.3185;-0.0199;-0.1862
