AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.7465;0.2726;False;False;80.9295;80.9295;-0.0026;-0.0026;-75.1162;-75.1162;359.8086;359.8086;273.4276;273.4276;0.1458;0.1458;-0.4726;-0.0003;-0.0003;0.0270;0.0270;-0.4726;191292;71.44814;2674.36;80.6408;-87.4141;1.1409;1.4644;-75.5871;-84.4695;354.0928;352.5056;234.5254;77.9939;4.9326;359.8908;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.7300;0.0018;0.0019
0.8419;0.4417;False;False;80.8929;80.8929;-0.0027;-0.0027;-75.1140;-75.1140;359.7947;359.7947;273.4332;273.4332;0.1454;0.1454;-0.5843;-0.0002;-0.0002;0.0338;0.0338;-0.5843;191297;72.21866;2674.43;80.6051;-87.4104;1.1410;1.4644;-75.5850;-84.4686;354.0814;352.4981;234.5302;77.9930;4.9413;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.7998;0.0018;0.0019
0.8936;0.5439;False;False;80.8463;80.8463;-0.0027;-0.0027;-75.1113;-75.1113;359.7807;359.7807;273.4395;273.4395;0.1449;0.1449;-0.7495;0.0000;0.0000;0.0438;0.0438;-0.7495;191301;59.05004;2674.50;80.5729;-87.4049;1.1410;1.4644;-75.5831;-84.4674;354.0731;352.4893;234.5341;77.9927;4.9476;359.8906;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.8706;0.0018;0.0019
0.9430;0.6433;False;False;80.7838;80.7838;-0.0027;-0.0027;-75.1077;-75.1077;359.7667;359.7667;273.4469;273.4469;0.1442;0.1442;-0.8806;0.0002;0.0002;0.0517;0.0517;-0.8806;191307;70.06757;2674.58;80.5008;-87.3870;1.1411;1.4645;-75.5789;-84.4633;354.0589;352.4691;234.5419;77.9932;4.9581;359.8904;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];0.9470;0.0018;0.0019
0.9663;0.6918;False;False;80.7152;80.7152;-0.0026;-0.0026;-75.1036;-75.1036;359.7558;359.7558;273.4544;273.4544;0.1435;0.1435;-1.0621;0.0004;0.0004;0.0628;0.0628;-1.0621;191312;71.36071;2674.65;80.4346;-87.3655;1.1412;1.4646;-75.5749;-84.4584;354.0497;352.4525;234.5485;77.9940;4.9647;359.8902;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.1, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];1.0171;0.0018;0.0019
0.9801;0.7137;False;False;80.6339;80.6339;-0.0026;-0.0026;-75.0988;-75.0988;359.7469;359.7469;273.4627;273.4627;0.1427;0.1427;-1.2012;0.0005;0.0005;0.0713;0.0713;-1.2012;191317;70.74145;2674.72;80.3561;-87.3360;1.1413;1.4647;-75.5702;-84.4517;354.0421;352.4368;234.5561;77.9950;4.9699;359.8900;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];1.0884;0.0018;0.0019
0.9882;0.7190;False;False;80.5433;80.5433;-0.0023;-0.0023;-75.0934;-75.0934;359.7496;359.7496;273.4734;273.4734;0.1596;0.1596;-1.3850;0.0056;0.0056;0.0814;0.0814;-1.3850;191322;72.0451;2674.79;80.2661;-87.2983;1.1414;1.4647;-75.5650;-84.4432;354.0500;352.4232;234.5654;77.9963;4.9799;359.8898;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.6, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];1.1577;0.0018;0.0019
0.9931;0.7216;False;False;80.4268;80.4268;-0.0021;-0.0021;-75.0863;-75.0863;359.7517;359.7517;273.4810;273.4810;0.1679;0.1679;-1.5740;0.0019;0.0019;0.0960;0.0960;-1.5740;191327;66.38221;2674.87;80.1630;-87.2515;1.1415;1.4648;-75.5590;-84.4326;354.0600;352.4124;234.5731;77.9979;4.9868;359.8897;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.5, 0.2, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.6, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];1.2368;0.0018;0.0019
0.9963;0.7349;False;False;80.2953;80.2953;-0.0020;-0.0020;-75.0783;-75.0783;359.7504;359.7504;273.4854;273.4854;0.1668;0.1668;-1.7639;0.0011;0.0011;0.1086;0.1086;-1.7639;191333;72.22887;2674.95;80.0241;-87.1846;1.1417;1.4648;-75.5505;-84.4174;354.0592;352.4028;234.5779;78.0001;4.9875;359.8896;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.3, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.5, 0.2, -0.2)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];1.3157;0.0018;0.0019
0.9978;0.7502;False;False;80.1573;80.1573;-0.0019;-0.0019;-75.0698;-75.0698;359.7487;359.7487;273.4890;273.4890;0.1629;0.1629;-1.9542;0.0007;0.0007;0.1197;0.1197;-1.9542;191338;70.13894;2675.02;79.8929;-87.1182;1.1418;1.4648;-75.5423;-84.4023;354.0557;352.3969;234.5818;78.0023;4.9859;359.8895;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.3, -0.1)_(-0.8, -0.4, 0.3, -0.4)_0.9334885_System.String[];HandLeft_(0.4, -0.7, 0.2)_(-0.8, -0.5, 0.3, -0.3)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(-0.2, -0.7, -0.7, 0.3)_0.9334885_System.String[];HandRight_(0.5, -0.7, 0.2)_(-0.2, -0.2, -0.5, 0.8)_1.086072_System.String[];1.3906;-0.0027;0.0019
