Path;Validity
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ISR37\Simulator outputs\csv\CSVScenario-CP1_Session-ISR37_2022-08-10-12-15-25.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ISR38\Simulator outputs\csv\CSVScenario-CP1_Session-ISR38_2022-08-14-10-11-35.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ISR39\Simulator outputs\csv\CSVScenario-CP1_Session-ISR39_2022-08-14-12-14-47.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ISR41\Simulator outputs\csv\CSVScenario-CP1_Session-ISR41_2022-08-21-11-32-28.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ISR42\Simulator outputs\csv\CSVScenario-CP1_Session-ISR42_2022-08-21-13-06-13.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH1\csv\CSVScenario-CP1_Session-ITH1_2022-11-04-15-13-28.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH10\csv\CSVScenario-CP1_Session-ITH10_2023-02-03-16-21-32.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH11\csv\CSVScenario-CP1_Session-ITH11_2023-04-11-10-19-46.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH2\csv\CSVScenario-CP1_Session-ITH2_2022-11-09-12-26-13.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH3\csv\CSVScenario-CP1_Session-ITH3_2022-11-09-17-34-32.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH4\csv\CSVScenario-CP1_Session-ITH4_2022-11-09-18-35-14.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH5\csv\CSVScenario-CP1_Session-ITH5_2022-11-11-12-46-24.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH6\csv\CSVScenario-CP1_Session-ITH6_2022-11-11-16-03-41.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH7\csv\CSVScenario-CP1_Session-ITH7_2022-11-11-17-54-12.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH8\csv\CSVScenario-CP1_Session-ITH8_2022-11-18-16-35-09.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\ITH9\csv\CSVScenario-CP1_Session-ITH9_2022-12-09-17-35-26.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC1\DataLogs\csv\CSVScenario-CP1_Session-NYC1_2022-07-28-12-13-13.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC10\csv\CSVScenario-CP1_Session-NYC10_2022-09-14-11-57-16.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC11\csv\CSVScenario-CP1_Session-NYC11_2022-09-14-16-26-15.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC12\csv\CSVScenario-CP1_Session-NYC12_2022-09-15-09-44-53.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC13\csv\CSVScenario-CP1_Session-NYC13_2022-09-15-11-13-58.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC14\csv\CSVScenario-CP1_Session-NYC14B_2022-09-15-15-29-12.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC15\csv\CSVScenario-CP1_Session-NYC15_2022-09-16-09-57-43.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC16\csv\CSVScenario-CP1_Session-NYC16_2022-09-16-15-37-55.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC17\csv\CSVScenario-CP1_Session-NYC17_2022-09-16-17-28-03.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC18\csv\CSVScenario-CP1_Session-NYC18_2022-09-19-11-41-57.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC19\csv\CSVScenario-CP1_Session-NYC19_2022-09-19-13-40-44.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC2\csv\CSVScenario-CP1_Session-NYC2_2022-08-09-14-52-30.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC20\csv\CSVScenario-CP1_Session-NYC20_2022-09-19-15-12-43.csv;True
