0.0000;-0.4523;False;False;98.0998;54.7021;-0.0143;0.0004;55.3998;-115.2019;0.0069;0.4478;214.6059;305.8757;0.0000;0.2043;-0.0006;0.0066;0.0063;-0.0001;-0.0007;0.0000;79406;71.96294;Infinity;1041.94;98.3167;54.3257;1.1201;1.1901;55.0766;-115.4226;352.5178;352.9490;211.4566;305.5612;0.4105;0.2412;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.3394;0.0060;-0.0313;98.3961;54.4331;1.0765;1.1337;55.1828;-115.4531;6.2808;0.8095;211.8868;307.4658;1.8002;358.9367
0.0000;-0.4523;False;False;98.0998;54.7020;-0.0141;0.0006;55.3997;-115.2019;0.0068;0.4476;214.6061;305.8757;0.0000;0.2041;-0.0001;0.0035;0.0034;-0.0006;-0.0001;-0.0004;79409;71.97733;Infinity;1041.98;98.3167;54.3257;1.1203;1.1903;55.0765;-115.4226;352.5180;352.9489;211.4566;305.5612;0.4105;0.2410;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.3811;0.0060;-0.0313;98.3961;54.4330;1.0768;1.1339;55.1828;-115.4532;6.2399;0.7921;211.8764;307.4735;1.8048;358.9497
0.0000;-0.4523;False;False;98.0998;54.7020;-0.0140;0.0008;55.3997;-115.2019;0.0065;0.4470;214.6069;305.8757;0.0000;0.2045;0.0000;0.0022;0.0021;-0.0009;0.0000;-0.0006;79412;71.99033;Infinity;1042.02;98.3167;54.3257;1.1205;1.1905;55.0765;-115.4226;352.5178;352.9484;211.4571;305.5611;0.4105;0.2413;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.4227;0.0060;-0.0313;98.3960;54.4330;1.0769;1.1341;55.1827;-115.4532;6.1831;0.7555;211.8686;307.4632;1.8135;358.9532
0.0000;-0.4523;False;False;98.0997;54.7020;-0.0139;0.0008;55.3996;-115.2019;0.0059;0.4463;214.6062;305.8757;0.0000;0.2046;0.0000;0.0013;0.0012;-0.0002;0.0000;-0.0001;79415;71.99062;Infinity;1042.06;98.3166;54.3257;1.1206;1.1905;55.0765;-115.4226;352.5173;352.9478;211.4571;305.5611;0.4106;0.2415;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.4644;0.0060;-0.0313;98.3960;54.4330;1.0770;1.1342;55.1827;-115.4532;6.1457;0.7271;211.8659;307.4476;1.8121;358.9442
0.0000;-0.4523;False;False;98.0997;54.7020;-0.0139;0.0009;55.3996;-115.2019;0.0055;0.4456;214.6049;305.8757;0.0000;0.2046;0.0000;0.0007;0.0006;-0.0009;0.0000;-0.0006;79418;71.99592;Infinity;1042.11;98.3166;54.3257;1.1206;1.1906;55.0764;-115.4227;352.5168;352.9470;211.4556;305.5611;0.4106;0.2415;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.5061;0.0060;-0.0313;98.3960;54.4330;1.0771;1.1342;55.1827;-115.4532;6.1367;0.7083;211.8792;307.4453;1.8081;358.9345
0.0000;-0.4523;False;False;98.0997;54.7020;-0.0138;0.0009;55.3996;-115.2019;0.0047;0.4449;214.6051;305.8757;0.0000;0.2045;0.0000;0.0002;0.0002;-0.0013;0.0000;-0.0009;79421;71.99552;Infinity;1042.15;98.3166;54.3257;1.1206;1.1906;55.0764;-115.4227;352.5161;352.9463;211.4553;305.5611;0.4106;0.2414;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.5477;0.0060;-0.0313;98.3960;54.4330;1.0771;1.1343;55.1827;-115.4533;6.1266;0.7115;211.8949;307.4541;1.8169;358.9258
0.0000;-0.4523;False;False;98.0996;54.7020;-0.0138;0.0009;55.3995;-115.2019;0.0039;0.4442;214.6066;305.8757;0.0000;0.2044;0.0000;0.0000;0.0000;-0.0014;0.0000;-0.0010;79424;71.99652;Infinity;1042.19;98.3166;54.3257;1.1207;1.1906;55.0764;-115.4227;352.5154;352.9456;211.4564;305.5611;0.4107;0.2414;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.4, 0.7)_1.039877_System.String[];0.5894;0.0060;-0.0313;98.3960;54.4330;1.0771;1.1343;55.1826;-115.4533;6.1128;0.7271;211.9031;307.4607;1.8118;358.9122
0.0000;-0.4523;False;False;98.0996;54.7020;-0.0138;0.0009;55.3995;-115.2019;0.0034;0.4436;214.6082;305.8757;0.0000;0.2044;0.0000;-0.0002;-0.0002;-0.0001;0.0000;-0.0001;79427;71.98939;Infinity;1042.23;98.3165;54.3257;1.1207;1.1906;55.0763;-115.4227;352.5147;352.9449;211.4580;305.5611;0.4107;0.2413;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.4, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.4, 0.7)_1.039877_System.String[];0.6311;0.0060;-0.0313;98.3959;54.4330;1.0771;1.1343;55.1825;-115.4533;6.0940;0.7331;211.9084;307.4621;1.8086;358.8881
0.0000;-0.4523;False;False;98.0996;54.7020;-0.0138;0.0009;55.3994;-115.2019;0.0030;0.4430;214.6095;305.8757;0.0000;0.2043;0.0000;-0.0002;-0.0002;-0.0005;0.0000;-0.0004;79430;71.99948;Infinity;1042.27;98.3165;54.3257;1.1207;1.1906;55.0763;-115.4227;352.5143;352.9444;211.4598;305.5611;0.4107;0.2412;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.6727;0.0060;-0.0313;98.3959;54.4330;1.0771;1.1343;55.1825;-115.4533;6.0658;0.7298;211.9138;307.4705;1.8041;358.8583
0.0000;-0.4523;False;False;98.0996;54.7020;-0.0139;0.0009;55.3994;-115.2019;0.0024;0.4426;214.6094;305.8757;0.0000;0.2042;0.0000;-0.0003;-0.0003;-0.0008;0.0000;-0.0006;79433;71.99527;Infinity;1042.31;98.3165;54.3257;1.1206;1.1906;55.0763;-115.4227;352.5138;352.9439;211.4590;305.5611;0.4108;0.2411;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.5, -0.5, 0.0)_1.03652_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.7, 0.5, -0.6, 0.0)_1.039877_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.6, 0.5, -0.7)_1.03652_System.String[];HandRight_(0.1, -0.4, -0.3)_(-0.1, -0.6, -0.5, 0.7)_1.039877_System.String[];0.7144;0.0060;-0.0313;98.3959;54.4330;1.0771;1.1343;55.1825;-115.4533;6.0430;0.7248;211.9212;307.4857;1.7971;358.8376
