ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.08;0.0;False;False;80.1134;80.1134;-0.0018;-0.0018;-75.1545;-75.1545;359.8781;359.8781;269.9131;269.9131;0.1589;0.1589;-1.0507;0.0006;0.0006;-0.0049;-0.0049;-1.0507;68553;70.93708;925.42;79.8612;-84.3774;1.1414;1.4645;-75.6425;78.1793;354.1518;352.5086;231.0172;149.496;4.9022;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];0.9755;-0.0091;0.0099
0.2707;0.0;False;False;80.0405;80.0405;-0.0017;-0.0017;-75.1549;-75.1549;359.8857;359.8857;269.9024;269.9024;0.1566;0.1566;-1.0605;0.0006;0.0006;-0.0052;-0.0052;-1.0605;68558;71.9646;925.49;79.7885;-84.3774;1.1414;1.4645;-75.6429;78.1792;354.1572;352.5088;231.0073;149.4946;4.8948;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.4, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.0447;-0.0091;0.0099
0.4542;0.0;False;False;79.963;79.963;-0.0017;-0.0017;-75.1553;-75.1553;359.8853;359.8853;269.8908;269.8908;0.1541;0.1541;-1.1154;0.0004;0.0004;-0.0058;-0.0058;-1.1154;68563;70.94089;925.56;79.7126;-84.3774;1.1415;1.4645;-75.6433;78.1792;354.1566;352.5088;230.9962;149.4934;4.8921;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.4, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.5, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.1163;-0.0091;0.0099
0.5683;0.0;False;False;79.8829;79.8829;-0.0017;-0.0017;-75.1557;-75.1557;359.8773;359.8773;269.8787;269.8787;0.1516;0.1516;-1.1795;0.0003;0.0003;-0.0064;-0.0064;-1.1795;68568;71.45709;925.63;79.6332;-84.3773;1.1416;1.4645;-75.6437;78.1792;354.1498;352.5087;230.9839;149.4921;4.8944;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.1862;-0.0091;0.0099
0.632;0.0;False;False;79.7914;79.7914;-0.0016;-0.0016;-75.1563;-75.1563;359.8638;359.8638;269.8646;269.8646;0.1488;0.1488;-1.2852;0.0002;0.0002;-0.0073;-0.0073;-1.2852;68573;71.02633;925.71;79.5386;-84.3773;1.1417;1.4645;-75.6443;78.1791;354.1374;352.5088;230.9688;149.4919;4.9007;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.7, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.2603;-0.0092;0.0099
0.6032;0.0;False;False;79.6954;79.6954;-0.0016;-0.0016;-75.1569;-75.1569;359.8498;359.8498;269.8489;269.8489;0.1456;0.1456;-1.3971;0.0002;0.0002;-0.0095;-0.0095;-1.3971;68578;71.68651;925.78;79.4392;-84.3773;1.1418;1.4645;-75.6449;78.1792;354.1238;352.509;230.952;149.4913;4.9075;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.3322;-0.0137;0.0099
0.5707;0.0;False;False;79.5968;79.5968;-0.0016;-0.0016;-75.1576;-75.1576;359.8392;359.8392;269.8268;269.8268;0.1415;0.1415;-1.4740;0.0003;0.0003;-0.0130;-0.0130;-1.4740;68583;72.46313;925.85;79.3514;-84.3773;1.1419;1.4645;-75.6456;78.1792;354.1137;352.5091;230.933;149.4899;4.9111;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.4011;-0.0197;0.0099
0.5579;0.0;False;False;79.49;79.49;-0.0016;-0.0016;-75.1587;-75.1587;359.833;359.833;269.7932;269.7932;0.1354;0.1354;-1.5708;0.0009;0.0009;-0.0181;-0.0181;-1.5708;68588;71.93717;925.92;79.2449;-84.3773;1.142;1.4645;-75.6466;78.1791;354.1046;352.5088;230.901;149.4913;4.9111;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, 0.0)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.1)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.4715;-0.0245;0.0099
0.6016;0.0;False;False;79.3786;79.3786;-0.0015;-0.0015;-75.1602;-75.1602;359.8312;359.8312;269.7489;269.7489;0.1277;0.1277;-1.6438;0.0011;0.0011;-0.0224;-0.0224;-1.6438;68593;72.26815;925.99;79.1361;-84.3773;1.1421;1.4645;-75.648;78.1791;354.0981;352.5088;230.8597;149.4919;4.9068;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.3)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.6, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.541;-0.0286;0.0099
0.6769;0.0;False;False;79.2559;79.2559;-0.0014;-0.0014;-75.162;-75.162;359.8307;359.8307;269.6915;269.6915;0.1192;0.1192;-1.7549;0.0013;0.0013;-0.0282;-0.0282;-1.7549;68598;70.16538;926.06;79.0164;-84.3773;1.1423;1.4645;-75.6499;78.179;354.0924;352.5086;230.8054;149.491;4.9006;359.8907;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.3, -0.1)_(-0.7, -0.5, 0.4, -0.4)_0.9334885_System.String[];HandLeft_(0.3, -0.7, -0.1)_(0.6, 0.6, -0.5, -0.1)_1.086072_System.String[];HandRight_(0.3, -0.3, 0.0)_(0.1, 0.8, 0.5, -0.2)_0.9334885_System.String[];HandRight_(0.6, -0.7, 0.0)_(0.1, -0.5, -0.6, 0.7)_1.086072_System.String[];1.6136;-0.0308;0.0099
