ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.0;80.8664;-82.8427;-75.5297;78.0678;-0.0203;0.0091
0.0723;0.0;0.0;80.8664;-82.8428;-75.5297;78.0678;-0.0203;0.0072
0.1401;0.0;0.0;80.8664;-82.8428;-75.5297;78.0678;-0.0203;0.0061
0.2134;0.0;0.0;80.8665;-82.8428;-75.5299;78.0678;-0.0203;0.0061
0.2827;0.0;0.0;80.8666;-82.8427;-75.53;78.0678;-0.0203;0.0061
0.3525;0.0;0.0;80.8667;-82.8427;-75.53;78.0677;-0.0203;0.0061
0.4229;0.0;0.0;80.8669;-82.8427;-75.5302;78.0677;-0.0203;0.0061
0.4927;0.0;0.0;80.8671;-82.8427;-75.5303;78.0678;-0.0203;0.0061
0.5625;0.0;0.0;80.8672;-82.8428;-75.5304;78.0678;-0.0203;0.0061
0.6318;0.0579;0.0;80.8674;-82.8428;-75.5305;78.0679;-0.0203;0.0061
0.7017;0.1845;0.0;80.8673;-82.8428;-75.5305;78.0679;-0.0208;0.0061
0.771;0.2612;0.0;80.8654;-82.8428;-75.5305;78.0679;-0.0232;0.0054
0.8408;0.3156;0.0145;80.861;-82.8428;-75.5304;78.0679;-0.029;0.003
0.9102;0.369;0.0825;80.8531;-82.8427;-75.5301;78.0678;-0.0358;-0.0013
0.98;0.4287;0.132;80.8412;-82.8424;-75.5297;78.0672;-0.041;-0.0074
1.0518;0.4919;0.1687;80.8243;-82.8412;-75.5291;78.0654;-0.0433;-0.014
1.1211;0.5492;0.1991;80.8024;-82.8391;-75.5283;78.0621;-0.0435;-0.0191
1.1934;0.5934;0.2235;80.7735;-82.8357;-75.5272;78.0568;-0.0435;-0.0211
1.2632;0.6334;0.2439;80.7385;-82.831;-75.5259;78.0495;-0.0435;-0.021
1.333;0.6916;0.2645;80.6968;-82.8249;-75.5244;78.04;-0.0435;-0.0206
1.4023;0.7376;0.2922;80.6474;-82.8172;-75.5226;78.028;-0.044;-0.0206
1.4722;0.7651;0.3232;80.5897;-82.8078;-75.5205;78.0134;-0.0451;-0.0206
1.542;0.7813;0.3501;80.5237;-82.7965;-75.5181;77.9958;-0.0468;-0.0206
1.6118;0.7909;0.372;80.4487;-82.7832;-75.5157;77.9751;-0.0492;-0.0224
1.6812;0.7965;0.387;80.365;-82.7676;-75.5132;77.951;-0.0528;-0.0269
1.751;0.7999;0.3959;80.2729;-82.7498;-75.5104;77.9235;-0.0575;-0.0329
1.8203;0.8018;0.4011;80.1717;-82.7296;-75.5075;77.8924;-0.0611;-0.0414
1.8901;0.803;0.4042;80.0618;-82.707;-75.5046;77.8579;-0.0628;-0.0519
1.96;0.8037;0.4061;79.9425;-82.6817;-75.5019;77.8197;-0.0628;-0.0626
2.0298;0.8041;0.4071;79.8142;-82.6539;-75.4992;77.7781;-0.0633;-0.0727
2.0996;0.8043;0.4078;79.6769;-82.6234;-75.4968;77.7331;-0.0667;-0.0829
2.1689;0.8045;0.4082;79.5315;-82.5906;-75.4946;77.685;-0.0726;-0.0936
2.2388;0.8046;0.4084;79.3766;-82.5549;-75.493;77.6335;-0.0799;-0.1045
2.3086;0.8046;0.4085;79.2131;-82.5166;-75.4922;77.5789;-0.0872;-0.1136
2.3784;0.8046;0.4086;79.0407;-82.4755;-75.4925;77.521;-0.0962;-0.1219
2.4482;0.8046;0.4086;78.8594;-82.4317;-75.4935;77.4601;-0.1064;-0.129
2.5181;0.8047;0.4087;78.6699;-82.3853;-75.496;77.3962;-0.1163;-0.1383
2.5874;0.8047;0.4087;78.4736;-82.3364;-75.501;77.3299;-0.1239;-0.1499
2.6577;0.8047;0.4087;78.2681;-82.2844;-75.5085;77.2605;-0.1282;-0.1629
2.7271;0.8047;0.4087;78.0549;-82.2297;-75.5185;77.1886;-0.1297;-0.1767
2.7969;0.8047;0.4087;77.8332;-82.1719;-75.5309;77.1143;-0.1297;-0.1899
2.8662;0.8047;0.4087;77.6043;-82.1113;-75.5457;77.0381;-0.1297;-0.2018
2.9375;0.8047;0.4087;77.3614;-82.0461;-75.5635;76.9577;-0.1297;-0.2119
3.0093;0.8047;0.4087;77.1151;-81.9791;-75.5838;76.8768;-0.1297;-0.2209
3.0854;0.8047;0.4087;76.8581;-81.9082;-75.6073;76.793;-0.1298;-0.2275
3.1621;0.8047;0.4087;76.5746;-81.829;-75.636;76.7012;-0.1309;-0.2335
3.2329;0.8047;0.4095;76.2613;-81.7402;-75.6712;76.6006;-0.132;-0.2367
3.3022;0.8047;0.4108;75.9821;-81.6599;-75.7058;76.5116;-0.1334;-0.2393
3.3721;0.8047;0.4116;75.6928;-81.5756;-75.7448;76.4198;-0.1344;-0.2403
3.4419;0.8036;0.412;75.3976;-81.4886;-75.7881;76.3268;-0.1346;-0.2437
3.5112;0.8024;0.4123;75.0961;-81.3985;-75.8358;76.2324;-0.1346;-0.2505
3.5811;0.8018;0.4124;74.7857;-81.3044;-75.8887;76.1362;-0.1346;-0.2581
3.6509;0.8014;0.4125;74.4698;-81.2072;-75.9463;76.0391;-0.1346;-0.2643
3.7207;0.8011;0.4126;74.1456;-81.106;-76.0096;75.9406;-0.1346;-0.2685
3.7905;0.801;0.4126;73.8147;-81.0011;-76.0785;75.8411;-0.1343;-0.2701
3.8599;0.8009;0.4126;73.4769;-80.8923;-76.1534;75.7405;-0.132;-0.2703
3.9297;0.8008;0.4127;73.1331;-80.7801;-76.2346;75.6391;-0.1279;-0.2703
3.9995;0.8008;0.4127;72.7826;-80.664;-76.322;75.5367;-0.1218;-0.2707
4.0693;0.8008;0.4127;72.4266;-80.5445;-76.4153;75.4339;-0.1147;-0.2739
4.1387;0.8008;0.4127;72.0651;-80.4215;-76.5145;75.3309;-0.108;-0.2775
4.2085;0.8008;0.4127;71.6972;-80.2947;-76.6195;75.2276;-0.1017;-0.2807
4.2783;0.8008;0.4127;71.3211;-80.1632;-76.7311;75.1237;-0.0966;-0.2829
4.3481;0.8008;0.4127;70.9391;-80.0279;-76.8486;75.0199;-0.0952;-0.2831
